ev	seg	pdg	traj	topo	pdg11	long_muon	len_cm	med_dqdx_mip	straight	verdict	note
499577	13030	11	1	0	1	0	21.8	1.062	0	UNL	[agent-bulk] Busy multi-prong numucc vertex. Verdict shower 13009 (299.8 MeV, pd
499577	13031	13	0	0	0	1	105.02	1.03	1	UNL	[agent-bulk] Busy multi-prong numucc vertex. Verdict shower 13009 (299.8 MeV, pd
500083	3002	11	0	1	1	0	13.46	1.57	1	UNL	[agent-bulk] nuecc, small event (r95 25.6 cm, 8 segments, 6 showers). Only ONE s
500083	3008	11	0	0	1	0	5.58	0.698	0	UNL	[agent-bulk] nuecc, small event (r95 25.6 cm, 8 segments, 6 showers). Only ONE s
52044	18004	11	0	0	1	0	3.73	1.084	0	UNL	[agent-bulk] LEADING shower 18004 (103.5 MeV, 5 seg, pdg 11, len 16.8): clusteri
52605	51023	11	0	0	1	0	3.2	0.656	0	UNL	[agent-bulk] nuecc. Vertex judged from the native r95 framing (event_half_span_c
52693	18034	11	0	0	1	0	0.39	1.527	0	MARKED_OTHER	[agent-bulk] CORRECTED VERDICT -- I first recorded this event as over-clustered 
54453	22019	11	1	0	1	0	3.62	1.038	0	UNL	[agent-bulk] mcp2k numucc_em, 32 showers, scope rule reaches 5 (57050, 24030, 37
56972	17024	11	1	0	1	0	21.48	0.821	0	UNL	[agent-bulk] nuecc, and the cleanest topology I have seen in this shard. Vertex 
58006	8040	11	1	0	1	0	13.42	0.797	0	UNL	[agent-bulk] Vertex judged from a --vtx-span 60 re-capture (event_half_span_cm w
58006	8041	11	1	0	1	0	10.34	0.646	0	UNL	[agent-bulk] Vertex judged from a --vtx-span 60 re-capture (event_half_span_cm w
69232	20019	11	1	0	1	0	8.01	1.296	0	UNL	[agent-bulk] mcp2k numucc_em, sparse: 12 segments, 6 showers, only 2 in scope (2
69232	20021	11	0	0	1	0	27.49	0.869	1	FAKE_ROOT	[agent-bulk] mcp2k numucc_em, sparse: 12 segments, 6 showers, only 2 in scope (2
69232	20022	11	1	0	1	0	26.64	0.31	0	UNL	[agent-bulk] mcp2k numucc_em, sparse: 12 segments, 6 showers, only 2 in scope (2
69254	4021	11	1	0	1	0	6.17	1.02	0	UNL	[agent-bulk] Small clean event: ONE shower in scope, 4021 (129.7 MeV, 4 seg, pdg
71642	10116	11	0	0	1	0	0.9	1.674	0	UNL	[agent-bulk] numucc_em, 35 showers. VERTEX: event_half_span_cm 173.6, so the nat
71872	13012	11	0	1	1	0	10.28	1.793	0	MARKED_OTHER	[agent-bulk] READ THE MARK, NOT ONLY THE RADIO on this event: the verdict radio 
74123	17029	11	0	0	1	0	5.09	1.65	0	UNL	[agent-bulk] mcp2k numucc_em WITH a reco pi0 group. 23 segments, 9 showers, 2 in
74326	10020	11	0	1	1	0	23.98	1.487	0	UNL	[agent-bulk] Verdict is on the LEADING EM shower 10020 (193.5 MeV, 3 seg, pdg 11
75954	21048	11	0	0	1	0	18.14	1.284	1	UNL	[agent-bulk] nuecc. Vertex judged from the native r95 framing (event_half_span_c
75954	21063	11	0	1	1	0	16.54	1.672	0	UNL	[agent-bulk] nuecc. Vertex judged from the native r95 framing (event_half_span_c
77328	16016	11	1	0	1	0	11.55	2.131	0	UNL	[agent-bulk] shw 16016 (180.6 MeV, 2 seg, pdg 11, mcp2k numucc_em): correct as a
77328	16017	13	0	0	0	1	44.42	1.015	1	UNL	[agent-bulk] shw 16016 (180.6 MeV, 2 seg, pdg 11, mcp2k numucc_em): correct as a
91917	17005	11	1	0	1	0	5.44	0.977	0	UNL	[agent-bulk] Vertex judged from a --vtx-span 60 re-capture (event_half_span_cm 3
94224	17026	11	0	1	1	0	6.94	0.657	0	UNL	[agent-bulk] mcp2k NUECC. THIS IS A PID VERDICT AND THE EVENT CARRIES NO CLUSTER
94392	5019	11	1	0	1	0	11.32	0.709	0	MARKED_OTHER	[agent-bulk] shw 5019 (305.6 MeV, 5 seg, pdg 11, len 103.5) is OVER-CLUSTERED: i
96383	14005	11	1	0	1	0	19.26	1.021	0	UNL	[agent-bulk] shw 14007 (144.2 MeV, 5 seg, pdg 11, mcp2k nuecc): correct by the r
96383	14007	11	1	0	1	0	19.75	1.003	0	UNL	[agent-bulk] shw 14007 (144.2 MeV, 5 seg, pdg 11, mcp2k nuecc): correct by the r
98844	6013	11	1	0	1	0	22.43	0.943	0	UNL	[agent-bulk] Vertex judged from the event's own +-111.6 cm sweep (event_half_spa
98844	6015	11	1	0	1	0	12.81	0.414	0	UNL	[agent-bulk] Vertex judged from the event's own +-111.6 cm sweep (event_half_spa
